theme,url,img,lines,author
APPRECIATION,/inspirational-quotes/6378-now-is-no-time-to-think-of-what-you-do-not,https://assets.passiton.com/quotes/quote_artwork/6378/medium/20210730_friday_quote.jpg?1626105610,Now is no time to think of what you do not have. Think of what you can do with what there is. ,<Author:0x00007fd44567a658>
APPRECIATION,/inspirational-quotes/8244-the-mind-is-like-a-flower-it-does-not-bloom,https://assets.passiton.com/quotes/quote_artwork/8244/medium/20210729_thursday_quote.jpg?1626105565,"The mind is like a flower. It does not bloom without the lights of appreciation, encouragement, and love.",<Author:0x00007fd44561ee98>
APPRECIATION,/inspirational-quotes/6601-enjoy-the-little-things-in-life-for-one-day,https://assets.passiton.com/quotes/quote_artwork/6601/medium/20210728_wednesday_quote.jpg?1626105510,"Enjoy the little things in life, for one day you may look back and realize they were the big things.",<Author:0x00007fd4456d9f40>
APPRECIATION,/inspirational-quotes/4224-we-can-only-be-said-to-be-alive-in-those,https://assets.passiton.com/quotes/quote_artwork/4224/medium/20210727_tuesday_quote.jpg?1626105360,We can only be said to be alive in those moments when our hearts are conscious of our treasures.,<Author:0x00007fd445656cf8>
APPRECIATION,/inspirational-quotes/3072-the-best-way-to-pay-for-a-lovely-moment-is-to,https://assets.passiton.com/quotes/quote_artwork/3072/medium/20210726_monday_quote.jpg?1626105332,The best way to pay for a lovely moment is to enjoy it.,<Author:0x00007fd445709588>
MOTIVATION,/inspirational-quotes/6165-we-should-cultivate-the-ability-to-say-no-to,https://assets.passiton.com/quotes/quote_artwork/6165/medium/20210723_friday_quote_alt.jpg?1625869267,"We should cultivate the ability to say no to activities for which we have no interest or real concern. If we learn to say no to many things, then we will be able to say yes to the things that matter most. ",<Author:0x00007fd445732af0>
MOTIVATION,/inspirational-quotes/3562-the-vision-must-be-followed-by-the-venture-it,https://assets.passiton.com/quotes/quote_artwork/3562/medium/20210722_thursday_quote.jpg?1625868835,The vision must be followed by the venture. It is not enough to stare up the steps - we must step up the stairs.,<Author:0x00007fd44575acd0>
MOTIVATION,/inspirational-quotes/8243-dont-stop-until-youre-proud,https://assets.passiton.com/quotes/quote_artwork/8243/medium/20210721_wednesday_quote.jpg?1625868812,Don't stop until you're proud.,<Author:0x00007fd44577dbe0>
MOTIVATION,/inspirational-quotes/5996-good-better-best-never-let-it-rest-until,https://assets.passiton.com/quotes/quote_artwork/5996/medium/20210720_tuesday_quote.jpg?1625868786,"Good, better, best. Never let it rest. Until your good is better and your better is best.",<Author:0x00007fd4457f2f08>
MOTIVATION,/inspirational-quotes/6889-when-you-look-for-things-in-life-like-love,https://assets.passiton.com/quotes/quote_artwork/6889/medium/20210719_monday_quote.jpg?1625868751,"When you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation.",<Author:0x00007fd44581a440>
